block_number;block_timestamp;block_hash;transaction_hash;transaction_index;log_index;value;contract_type;transaction_type;token_address;token_id;from_address;to_address;amount;verified;operator
14409958;2022-03-18T10:51:44.000Z;0x18d703104640c8beffdb2be60edc01f37ea332ea4f8b638c5b3c059ada8d7392;0xcaa3e7c59dc5726a638ab419bfa55efcd8aa830e6b213f66363a8d2758ccf9b2;81;117;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;3579;0xab6e4762d24f90c74a306b1814e530dfe0c507c9;0x735a4c94c506b694de3a87a5c5eeb35c2d26d966;1;1;
14409526;2022-03-18T09:06:29.000Z;0x78cf20521b8226a70eb11e2a0726ce0327ed1a6ac37b55bddbcbbdc0370610d8;0x6c84b70a2962827cff5ffe2d54f7d84d68fb110d85d6fa547739b9b16416f9fd;14;16;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;4541;0x9809c153b695520dd7e2f4ef1eec557c4169da6f;0x27f84f518eb21457ce71d0ac67ace48e41b45cbd;1;1;
14409500;2022-03-18T09:02:25.000Z;0x80be6cf9a8e495fe04354251c9a1e24396ba479b0587231434d7a34688258a10;0x51915381273287df96f3dfbdbec7e6db6a2dc035efebf2a452d9417492c4a56e;23;33;73950000000000000000;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;4541;0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685;0x9809c153b695520dd7e2f4ef1eec557c4169da6f;1;1;
14409498;2022-03-18T09:01:43.000Z;0x45d4c7fe5b073b669f0dc1efec8eecaa261809624b8d24430652f4e0d2cba34e;0x783e51754370d0d2f0c505b91bc1cd98c3b83567a694fb024196792c6361bacd;10;36;70551833540231930000;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;4151;0x269616d549d7e8eaa82dfb17028d0b212d11232a;0xf0839f77d88a93e74b5aca6946b89f110de750cf;1;1;
14408883;2022-03-18T06:48:19.000Z;0xd2a83a31d750ace815e7efe947d66c3b50649d1d5cef9df3563db35d10170168;0x81585586c490d3811639d1d099d429a576618270dcc1eb9dd15ffbe02d686027;144;266;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;4708;0x4c11f129bd26d189eb8b938d091c8b493dccbca8;0x94de7e2c73529ebf3206aa3459e699fbcdfcd49b;1;1;
14408852;2022-03-18T06:39:57.000Z;0x6c2092eee4647508f712ca887955a2fe5f24cb02768b0028f9cdf00dafea9e3e;0x238a2ee39ddc8666dc7b8235fa1a9e68d66d4b7e6e1eb34f128346eec817162e;148;269;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;4733;0x4c11f129bd26d189eb8b938d091c8b493dccbca8;0x94de7e2c73529ebf3206aa3459e699fbcdfcd49b;1;1;
14408795;2022-03-18T06:27:14.000Z;0x4f14b5604f6d3a2b66e366f739f0a6ef6d6f00439df137e9bfb5239987c86dca;0xd69ea2ef72b4afb19971ff57ba5d531be13196a134edbeda8b137aefaace2c4d;5;1;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;1275;0x6ecb6038d923606b3540c4c6ac267c73ab7fa3c5;0x479299dd33b762c82b7c507e6d3459b17a0a4550;1;1;
14408135;2022-03-18T04:04:24.000Z;0x89827b84f9dd7753091b257f534f46dd7dadfaeba5e218eb80a289782d2e198d;0x2f6725bef33f9ec40d221cc1396d9b380386868498ad65dbac1274d17b3398ea;12;41;73950000000000000000;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;5357;0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685;0xf1392511311d215cdb90f1f53a3a75d8c2be9f44;1;1;
14407842;2022-03-18T02:58:25.000Z;0x404c920042a173b8713f0bb382dc865cec8f3306f234918639712f15e9285a34;0x6196fd1c7bee2fb5f15e6363ead1b0fda89b8b6d6c381e5c021dde44f4a48198;0;2;80000000000000000000;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;1974;0xf31f591b3dcd383047d7045de96a200a09e4dde1;0x55e94e836f312d98171eff73146926a5fa2a3b25;1;1;
14407838;2022-03-18T02:57:44.000Z;0xd91a20eb92856d517e6589e5c944c5c3c27b84d98defda6d6e5542ab8dd3ebb9;0x67cfed4e059c6f71364c9ba92cb01c5708935cfdfc2aadabbb015aa0096ff2e8;12;50;67000000000000000000;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;9014;0x3389cd9bdf52f3d679d4e19ad845672980d1e700;0xf1392511311d215cdb90f1f53a3a75d8c2be9f44;1;1;
14407806;2022-03-18T02:52:42.000Z;0x19966363656dee2b5bb153d3c314cfdb7938b381ff5cb69f342a39a13fa5cdd9;0xb090102e3b5ba51b10932f41e29fce92af89cbab33ea8e03fed2a6d16d510b9b;9;26;77500000000000000000;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;7085;0xcc2a855946a3c20683858fe6ee15acf8b836f0b3;0x55e94e836f312d98171eff73146926a5fa2a3b25;1;1;
14407729;2022-03-18T02:38:08.000Z;0xa70aaac719187b9483f41bbeda36a1fb8c9c50ff7b9ba597f5a5fdb909134f63;0xedb7e5fae03b8947253b93de9d4bdab48c40a9f745ddf87dd865926ea537e6bc;6;27;0;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;5283;0xae3fc7962c87482bbecc394b8b5aa5c36f6914e1;0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685;1;1;
14406835;2022-03-17T23:05:26.000Z;0xe8036578fdc2bcc6f62b436e6e5cd6ca5f520973088a88c173232cbaba5f897c;0x05a44f6640bab2469f600689502c78d734b97608a7d189c8ac98aab7f0a1b8dd;71;49;69000000000000000000;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;2914;0xfe2f279d3679bac2d07cf46c93503410ef9ca448;0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685;1;1;
14406834;2022-03-17T23:05:16.000Z;0xfcd6a622a7825aac3c2180ea0e3d88acc2283fa77f8d9d6a186a0309bdc672bd;0x47a65a73a72d6ed730708b1afac15a7c33ce2246a715780850d620cf7605d691;66;163;81000000000000000000;;Single;0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb;4159;0x6639c089adfba8bb9968da643c6be208a70d6daa;0xfe2f279d3679bac2d07cf46c93503410ef9ca448;1;1;
