block_number;block_timestamp;block_hash;transaction_hash;transaction_index;log_index;value;contract_type;transaction_type;token_address;token_id;from_address;to_address;amount;verified;operator
14410171;2022-03-18T11:34:45.000Z;0xb20718a5a66f9b80e0b693e64628028557a506a791575a2ee8416797b97790ad;0x5cb6d1fc2311cd8c332eca3233de21cf24d6834323b666ec23e2d6f5a770875f;230;320;16490000000000000000;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;2878;0x77fa1aa2d628bf1456ccd6ab4d45b78672500366;0x393ea3504997a3b2b428a4ad326507d2fbc6df4c;1;1;
14409863;2022-03-18T10:27:58.000Z;0xb4e3dbd0990860dbe0173f569c4842325ec50294b6521329d2723228cf753549;0x17e9a1365031c444a6c36acff41b7a3011ddeae69bd7da9a8e1a65d6969af2ca;144;201;0;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;6202;0xedbc7d68195a411d5c6a32d3bd93703880ad7692;0x8e4e2cb1f2538878c60923bbf2964a2e89cf8a52;1;1;
14409622;2022-03-18T09:27:22.000Z;0xe86451d5e3997b91b9c8f8208fce1ecf5edf4487ea366dd9c00ea90572648502;0xb20c745497c6168733ce5eac2fc140413560328701e00bead0668a934b928c1f;180;351;0;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;6201;0xf7a5dfe1043ea5d6ca4b78c2862f7c752b16eab7;0x368dc725d38d11c506547f79c19891d3eb72a84d;1;1;
14409595;2022-03-18T09:19:52.000Z;0xadd9dba11d4d36e761c3ca3ddacec62d6a3358ed9bc17601283195ae082c20d4;0x209dd2564f7d9370e0954058f03d64ec3da98564c79f33843326590ca172933c;124;191;0;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;6201;0x368dc725d38d11c506547f79c19891d3eb72a84d;0xf7a5dfe1043ea5d6ca4b78c2862f7c752b16eab7;1;1;
14409586;2022-03-18T09:17:13.000Z;0x60a5c0f9d58ebe18bd89217f74087707ea0a203c50c3e3b01eeddd5c683f2c92;0x7127aac758519be396ab6eb0d15defebd6d1c14585e822447d81abdfd15713d1;149;87;0;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;6201;0x6e9cf4d26d67fe00b1e5e87a3e7d6b6c43e9170f;0x368dc725d38d11c506547f79c19891d3eb72a84d;1;1;
14409544;2022-03-18T09:10:48.000Z;0x40410bb7451678a69ef83dc21494387bfac5a38ac509ed6a8358361869c9edb8;0xe93d343147fed48545c7e29ad943eaa0eefda4a657bdc2dda02f08786361c3ec;80;125;15490000000000000000;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;6201;0x4ae51f105e4777fd204e860594eb0880db27e01b;0x6e9cf4d26d67fe00b1e5e87a3e7d6b6c43e9170f;1;1;
14408903;2022-03-18T06:52:23.000Z;0xe9911537c05bc782f3be4c02054a54379150c9d1c7eadc95688ff8874c8e753f;0x5cce0bca22f961e2a16930af748a961e813a6148bc052e0060dd7ba5cd6bc86a;57;58;17950000000000000000;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;4903;0x3cd3bf7db26df10ff229fe8f8650bb9f8d05f103;0xe77610bacf43c580044ad47e4c5c7e0de64f75a4;1;1;
14408308;2022-03-18T04:41:34.000Z;0xc7b7cdac843b2e4498f75b242698185b4e5dee8642b394b0e378801db94d7ca5;0x9b39fd6ae3787a29e8c753c3d7509d75d48546c7c90cca35f792460ec8141e5c;33;36;0;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;8718;0x88341d1a8f672d2780c8dc725902aae72f143b0c;0x1cca677e0e1fa47ad46a998cf2fe6cd0222428cb;1;1;
14407965;2022-03-18T03:27:36.000Z;0x2c7150cc3ae43534aace8035c16eb8a68bffb1d2f443eb49402c26dde6b65b5c;0xdf0c742512c2dd4185f72b31788c606f56a58b8894a7dc036b8c7b0b7166b41c;245;270;21500000000000000000;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;814;0xc49e8918ce75751d2fd072c185a489c375a3510a;0x6858992db8200c787347f2360e1fc235f4246fed;1;1;
14407595;2022-03-18T02:03:35.000Z;0x89eed5c8365b6069414316e1c0cb3fa95d48ead39ee2d1cdaf414c7151f0c8b5;0xd20c9dbb0b202ab65d3a465b417dd21472dd6da58d0ea29dd0d8f47adf669450;122;194;0;ERC721;Single;0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb;1580;0xb1584a8b7a32fe4573faf3bc8013dbb3d9ae16a5;0x88341d1a8f672d2780c8dc725902aae72f143b0c;1;1;
