tweet_id;tweet_user_screen_name;tweet_timestamp;tweet_full_text;tweet_retweet_count;tweet_favorite_count;tweet.user.followers_count
1,50E+18;nftwhalealert;2022-03-11 12:00:00;"b""Hourly Top Sales\nMonfters Club: 75\nThe Sweep Pass: 59\nDourDarcels: 50\nYeti Town NFT: 48\nConiunPass: 28\nToucan Gang: 22\nI Like You, You're Weird: 22\nSuper Ordinary Villains - SOV: 17\nVR Future Genesis: 17\nSkelet Guys: 16""";2;7;204049
1,50E+18;nft_notifier;2022-03-11 12:00:00;b'\xf0\x9f\x94\x9d#NFT Sales of Last Hour\xf0\x9f\x94\x9d\n\n66 | Monfters Club\n63 | The Sweep Pass\n54 | Yeti Town NFT\n47 | DourDarcels\n29 | ConiunPass https://t.co/7697MlOQ0U';1;6;699
1,50E+18;NftsRankingBot;2022-03-11 12:07:00;b'collab @cybotz_nft\n#NftsRankingBot #ETH #Opensea #NFTs\n\nTop 10 #NFTCollections sales in last hour 10h-11h\n\n161  Monfters Club\n99   The Sweep Pass\n72   Pixel Kevin NFT\n56   ConiunPass\n40   Chain Scouts Genesis';1;2;812
1,50E+18;nftflooralerts;2022-03-11 13:50:00;b'#3 Traded Collection (Last 15min):\n\nConiunPass\nSales: 8\nUnique Buyers: 8\nAvg Price: 0.3 \xce\x9e\nLink: https://t.co/We6lDmRzwp';0;0;4402
1,50E+18;nft_notifier;2022-03-11 15:00:00;b'\xf0\x9f\x94\x9d#NFT Sales of Last Hour\xf0\x9f\x94\x9d\n\n83 | DourDarcels\n51 | Meta Monkey Club - Genesis\n31 | Loser Club Official\n20 | ConiunPass https://t.co/LGlI998Gml';0;4;699
1,50E+18;NHRuns;2022-03-11 15:06:00;b'Recently just gotten my coniun pass #coniunpass  \xf0\x9f\xa4\xaa very useful tool to track and understand what\xe2\x80\x99s happening !';0;1;282
1,50E+18;nftwhalealert;2022-03-11 16:00:00;"b""Hourly Top Sales\nPiece of 3.141: 94\nSealenza by hrunz: 66\nSuper Ordinary Villains - SOV: 62\nSkelet Guys: 56\nI Like You, You're Weird: 47\nLoser Club Official: 45\nDourDarcels: 39\nChain Scouts Genesis: 34\nConiunPass: 25\nDrugReceipts: 23""";4;9;204049
1,50E+18;NftsRankingBot;2022-03-11 16:07:00;b'...\n33   Loser Club Official\n33   Super Ordinary Villains - SOV\n23   ConiunPass\n22   DrugReceipts\n19   PunksVoxels';0;2;812
1,50E+18;nftflooralerts;2022-03-11 16:35:00;b'#2 Traded Collection (Last 15min):\n\nConiunPass\nSales: 9\nUnique Buyers: 9\nAvg Price: 0.29 \xce\x9e\nLink: https://t.co/We6lDmRzwp';0;0;4402
1,50E+18;MobyAlerts;2022-03-11 16:36:00;b'\xf0\x9f\x92\xb0 ConiunPass Number of sales increased to 30 (+50%) in the last hour';0;1;1870
