block_number;block_timestamp;block_hash;transaction_hash;transaction_index;log_index;value;contract_type;transaction_type;token_address;token_id;from_address;to_address;amount;verified;operator
14410262;2022-03-18T11:55:59.000Z;0x3b53352416438fd11cb0f0d33426b6cbec116c533dd9a89432d45c439f394a49;0x96ffc56fb03d12aec8a607137bce82f82f7be90e5d6323dcc0b5dbe5493bc863;188;266;450000000000000000;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;5299;0x1003d41c92f4f4d2c27f6bae6c2c73a45cfcf141;0x919fe8b25901403595cbca8b7c75f2ad14ec8192;1;1;
14410051;2022-03-18T11:11:05.000Z;0x5b09bcaec798275c8b5f7c83992ac94d7e0c4966bdb3518f4d1f4b9c8af6d6a1;0xf3bd7d17b09cbb992042248085ab96ebef572d3b36ca50a4c8e2fbc63de0f4e6;107;256;465000000000000000;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;3200;0x5a86a7a491f7401b74f121553b8c54b4633d1fa5;0x6474d845de53dafed2d1c752330378fe9cf7d7e3;1;1;
14409984;2022-03-18T10:55:44.000Z;0xc125ba66f56b0d626061017350fcd7f4dc39be3fa6dbb38c01e0fe19e5d72d2f;0xaebcfe6bcbc519f5f12242317b5b64abe04774184c6b519ae09e12f0b38dd5fb;72;84;0;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;4879;0xd35267ceb12113fc9561991a256527ff57a29d8e;0x9eb0cbde209a7bc917620116c79bc7617daba724;1;1;
14409979;2022-03-18T10:54:40.000Z;0x75c8e1bb33b164613d9a5ca5bb6b405c58ead70497df63545c54c01ea448ea21;0xffd72c2f7d6eca2e275a0d64c2bd0131981211db956ea7b6937d18b1633390b3;145;387;0;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;5674;0xd35267ceb12113fc9561991a256527ff57a29d8e;0x9eb0cbde209a7bc917620116c79bc7617daba724;1;1;
14409871;2022-03-18T10:29:49.000Z;0xb4fa138115c90e7e7d881f9b1ff2dbfab2f997b693872ae63247a12a70367f48;0x7012bed81735fa537cb2275ca429664efd66ba8549e10f5ea5eb0fa6115b5321;3;3;0;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;5086;0x5c388240f84b7e1784f226d8d204073b925b9e4e;0xc288cdd4bc9fb1bf5148e139281f419ebf0c8ed9;1;1;
14409759;2022-03-18T10:01:38.000Z;0x9edd49e91514a31771b6f5e9f200a881e81c95acfabf832122bd382b153634e8;0xfb43f26419665b4550ee087ea09b3c88b24d62d20e64c74d0f82f25f1248ff95;261;435;480000000000000000;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;9511;0xaf9744d2cae13a2e4deb0de0eaae70110918f3ae;0xb159514899d6152e8a6c631d279cd313498d9873;1;1;
14409588;2022-03-18T09:17:34.000Z;0x9fb1953eeb04a8913edb5c3af58a197bc384e4f02993bf10a24376da9163ca60;0x775b336ca375b96f2aa07b951d06104fefcfec313a99dcb2dbdfe828b0db1544;55;167;495000000000000000;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;6540;0x795ae8d996440d80a2a4445853c7b7cde094c948;0xff7bb38575c4da2b8478314212cbd9b971f5de79;1;1;
14409537;2022-03-18T09:08:47.000Z;0x58572702e422ce2a02e43b485b1b7153ff8ffda91198bf016776a28365056f9a;0x9da3dccd24413eb663e63bb88879fc17e37209825b8379a0a08fb6e17d8928c2;66;129;565000000000000000;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;9181;0x4528d2218f512228c017bee940b63481760e9843;0x7bce69aabe9bd153db759bd5e471494026b320ae;1;1;
14409478;2022-03-18T08:58:05.000Z;0x15743c5e524a2f72e54d33213194b747a66dfac7d36777c8c9bd298344d3af99;0x33485ccdb8ba7a353a10929711b2f7ed0a50c995e2b2aeb2d74ceeb353de2eda;240;378;500000000000000000;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;2094;0x3c3fa1aa588ad8299efb73079f168ec869a2626c;0x73566a07202b9216c733f4fbbf78d71cfa637005;1;1;
14409440;2022-03-18T08:50:27.000Z;0x059e57bbffcc6518af7672dbfec57ed4be72840437f909e573af12b1164c5acc;0x55fe295f42c2fefc99369bff1a1e1eb1322b59fd79780c2763db9bee22c5a19d;331;669;1469000000000000000;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;34;0x795ae8d996440d80a2a4445853c7b7cde094c948;0xf5b6f869d96164c323c12b7ba8739b2fb20e8edc;1;1;
14409440;2022-03-18T08:50:27.000Z;0x059e57bbffcc6518af7672dbfec57ed4be72840437f909e573af12b1164c5acc;0x55fe295f42c2fefc99369bff1a1e1eb1322b59fd79780c2763db9bee22c5a19d;331;666;1469000000000000000;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;1126;0x04f1eb8f38d85b1b99f6f9f05c7dcae93d133356;0xf5b6f869d96164c323c12b7ba8739b2fb20e8edc;1;1;
14409440;2022-03-18T08:50:27.000Z;0x059e57bbffcc6518af7672dbfec57ed4be72840437f909e573af12b1164c5acc;0x55fe295f42c2fefc99369bff1a1e1eb1322b59fd79780c2763db9bee22c5a19d;331;663;1469000000000000000;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;3253;0x04f1eb8f38d85b1b99f6f9f05c7dcae93d133356;0xf5b6f869d96164c323c12b7ba8739b2fb20e8edc;1;1;
14409407;2022-03-18T08:43:25.000Z;0x77525d70bd28627ed7a49065393e1de8bb3d39c8b0dd81f7acd7f888fbb12a71;0x0be35ebb66d09f4ffc7b3452e83051f11e404ffdec6943bbf0e5ba797e934ec1;172;202;500000000000000000;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;1687;0x7bce69aabe9bd153db759bd5e471494026b320ae;0x73566a07202b9216c733f4fbbf78d71cfa637005;1;1;
14409391;2022-03-18T08:40:16.000Z;0x2155d529a3cfa62c204cc6b46f502f888c0a3a8529d0c2b38b82eeef499979a1;0x6a0ab0a092f3de87d9509005630cdc43b9fb2ba89387a03125dd1ba5a97ea075;84;103;499900000000000000;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;7461;0xfb847902737659b6218f864d18525758e1fc044d;0x8a8f3c2cb50d25bb1e955953d24988e205a0a3c5;1;1;
14409320;2022-03-18T08:24:46.000Z;0x42e4aece27873210126c69cb50cd906411baa433e64664b3ace68aa23b732576;0x8735cc7b6554b291cf3aba81fb9ebc7bcabac6c3980f51f54cc0fe895a89ca02;141;251;470000000000000000;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;7591;0xa179bf99de53679fbdd0e09b0d7d96ececa4ab7f;0x0d07e83116652b9e6cb51c1aa08358ab74422952;1;1;
14409233;2022-03-18T08:05:13.000Z;0x7ea610bfd6249b6ca06bd177222241acd454548e22385c6b6e2f8003e110819b;0x5f9673cc03f289426bd9242e805afac22787e1d64d9d23d25c339944526ee5cb;252;582;979000000000000000;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;216;0x96865b81b944c7af13a4d8f6c22772e65e5efef9;0xa9e83ba3274103ae453cafab29005366fca1eaf3;1;1;
14409233;2022-03-18T08:05:13.000Z;0x7ea610bfd6249b6ca06bd177222241acd454548e22385c6b6e2f8003e110819b;0x5f9673cc03f289426bd9242e805afac22787e1d64d9d23d25c339944526ee5cb;252;579;979000000000000000;ERC721;Single;0x95784f7b5c8849b0104eaf5d13d6341d8cc40750;2345;0x6fb09ca6f8b0fa8fe72e3bbb37120db4001acbd2;0xa9e83ba3274103ae453cafab29005366fca1eaf3;1;1;
