tweet_id;tweet_user_screen_name;tweet_timestamp;tweet_full_text;tweet_retweet_count;tweet_favorite_count;tweet.user.followers_count
1,50E+18;iampamungkaski;2022-03-11 13:38:00;b'Stay liquid, so when a good project is minting, you have money to join. My biggest flip was on bear, I flip 6 Swampverse for 1.8 Eth cus i have 3 WL, then using that 1.8 ETH I mint NT S2. If I dont have the moeny to mint NT s2 which is 1 eth, I might not be here.';0;6;9456
1,50E+18;SiderNFT;2022-03-11 20:32:00;b'@NFTLlama Llama frog? Hmmmmm reminds me of swampverse';0;0;30
1,50E+18;Khoahochang;2022-03-12 07:43:00;b'CryptoCitizens // Cool Cats // Creatures // The Hundreds // Swampverse // F Off';0;0;35
1,50E+18;Kilpat12388;2022-03-12 09:18:00;b'@TFGmykL @acrocalypseNFT and @SwampverseNFT !! $PAPER coming this month and for Swampverse gfuel collab and creatures';0;4;2023
1,50E+18;magnusluvcrypto;2022-03-12 12:41:00;b'Just Croaked into @SwampverseNFT again for my 3rd toad \xf0\x9f\x90\xb8\xf0\x9f\x94\xa5 Welcome to the family #2868 \xf0\x9f\x98\x87 Think we might need some SwampJuice to quench our thirst soon @GFuelEnergy \xf0\x9f\x91\x80 \n#Swampersfollowswampers #toadsfollowtoads #swampverse https://t.co/OVG5KsukEr';8;127;226
1,50E+18;Crypto_Eaz;2022-03-12 15:19:00;b'@ryandcrypto Sell everything to buy swampverse \xf0\x9f\x90\xb8';0;0;251
1,50E+18;GoMiiNFT;2022-03-13 03:18:00;b'@camolNFT try to FUD Swampverse we Fud ourselves so much it will have no effect';0;1;166
1,50E+18;WuzzBuzz3;2022-03-13 17:01:00;b'@Callum477 @CryptoBatzNFT @SuperApesClub Swampverse and Not today club';0;0;57
1,50E+18;SwampDivine;2022-03-14 03:28:00;"b'Giga bullish on @SwampverseNFT \nUpcoming:\n-Merch store which means LP *wink*\n-Creature drop this month + Cheaper gas contract &amp; safe audit\n-Burning utility w/ creature *Supply shock*\n-HUGE game changing collaboration\nSwampverse will be that one NFT you wish you bought more of!!!'";73;225;530
1,50E+18;SwampverseNFT;2022-03-14 21:09:00;b'Swampverse merchandise comes out this month, redeem with $croak. https://t.co/CbEsDsH3sE';101;372;66479
1,50E+18;Caqns2Caqns;2022-03-14 21:10:00;b'@SwampverseNFT i want my swamper on the back, swampverse chains redeemed with $croak ??????';0;3;286
1,50E+18;jay_crypto12;2022-03-14 21:13:00;b'@SwampverseNFT Not gonna lie. Big swampverse holder and always will be but merch does not look the quality I expected after the wait. I hope I\xe2\x80\x99m wrong';0;11;248
1,50E+18;juliusr626;2022-03-15 00:14:00;b'@Swampverse x @GFuelEnergy\n! NEED \xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x94\xa5 https://t.co/33gF8hrQbS';0;1;651
1,50E+18;MusicBurrows;2022-03-15 14:42:00;b'@i3uuve1 @Banks @acrocalypseNFT Soon to be more than one croc with swampverse creatures coming';0;2;862
1,50E+18;Tonycoinz1;2022-03-15 15:51:00;b'@Banks why you abandon Swampverse ?';0;0;15
1,50E+18;Tonycoinz1;2022-03-15 18:51:00;b'@Banks why you I dip on Swampverse';0;0;15
1,50E+18;nftlate;2022-03-15 20:42:00;b'ALPHA #03\n\nSwampverse Creatures is going to launch this month reducing the current supply 50%. Also quite confirmed news of a GFuel collab - being the first NFT project to do that. Storm is coming.';0;1;9
1,50E+18;BaraTampubolon;2022-03-16 04:42:00;b'ATTENTION PLEASE ! Soon @Chum_Chum01 gonna drop the biggest alpha soon in @SwampverseNFT , its the year of Swampverse - Creature, Voxel, LP, Merch, P2E.. Have you seen our VX guys.. @domz_eth creating such a monstrous VX ! VX Maestro https://t.co/hWs0vllU3g';10;48;861
1,50E+18;0xjuda;2022-03-16 04:55:00;b'@Banks @elliotrades Pump swampverse for my friends thwyre bagholding';0;5;783
1,50E+18;SOYM_Baggins;2022-03-16 05:25:00;b'Ribbit #swampverse https://t.co/hnj2wpvqLc';0;5;1101
1,50E+18;Luathinhsuva752;2022-03-16 06:04:00;b'CryptoCitizens // Cool Cats // Creatures // The Hundreds // Swampverse // F Off';0;0;51
1,50E+18;Yo_CAJ;2022-03-16 06:36:00;b'Hey @garyvee! Just saw this video. All these #NFTs you mentioned #BAYC #CRYPTOPUNK #WORLDOFWOMEN #COOLCATS #PLASMABEARS #CREATUREWORLD #MEEBITS #SWAMPVERSE #DEADHEADS #STRAWBERRYWTF. Seems like the cheapest one out of all you mentioned is @strawberry_wtf. You still holding it? https://t.co/1Z61lhiLOs';0;14;8514
1,50E+18;MobyAlerts;2022-03-16 08:26:00;b'\xf0\x9f\x92\xb8 Swampverse Average price increased to \xce\x9e0.416 (+21%) in the last 12 hours';0;0;1870
1,50E+18;NftsRankingBot;2022-03-16 09:08:00;b'...\n20   CareBears Official\n20   Super Ordinary Villains - SOV\n19   THE TOKS\n16   ARBO Artifacts\n14   Swampverse';0;1;811
1,50E+18;NFTrendingAlert;2022-03-16 09:11:00;b'(2/2)\n\nPeopleInThePlaceTheyLove\nCatBlox Genesis Collection\nSwampverse\nXenoInfinity\nRubber Duck Bath Party\nInternet Game Token\n\n#NFTs #OpenSea #TrendingNFTs';0;2;641
1,50E+18;nftwhalealert;2022-03-16 10:00:00;b'Hourly Top Sales\nCandy Hunters: 460\nStranger EggZ: 288\nFrenly Pandas: 42\nKRISALIS - The Official Page: 40\nThe Bibiz: 36\nCareBears Official: 27\nSuper Ordinary Villains - SOV: 22\nMURI by Haus: 22\nGNSS by MGXS: 22\nSwampverse: 18';0;4;203965
